pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,sy_jmag,sy_kmag,sy_tmag,sy_kepmag,sy_gaiamag,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
Kepler-290 b,Kepler-290,Gaia DR3 2105538623730974848,Gaia DR2 2105538623730974848,TIC 158218214,,286.4100307,42.6815137,15.775,14.054,13.452,14.9548,15.596,15.5648,5147.0,4.622,-0.1,0.756,0.743,,-0.58591,1.1,3.7,-3.7,,14.589347,2.25,2.404,Kepler,2014,Kepler
Kepler-290 d,Kepler-290,Gaia DR3 2105538623730974848,Gaia DR2 2105538623730974848,TIC 158218214,,286.4100307,42.6815137,15.775,14.054,13.452,14.9548,15.596,15.5648,5142.0,4.602,-0.06,0.84,0.755,,-0.58591,1.1,3.7,-3.7,,0.764017553,0.86,1.103,Kepler,2023,Kepler
Kepler-290 c,Kepler-290,Gaia DR3 2105538623730974848,Gaia DR2 2105538623730974848,TIC 158218214,,286.4100307,42.6815137,15.775,14.054,13.452,14.9548,15.596,15.5648,5147.0,4.622,-0.1,0.756,0.743,,-0.58591,1.1,3.7,-3.7,,36.77031,2.7,4.278,Kepler,2014,Kepler
Kepler-883 b,Kepler-883,Gaia DR3 2133609705341815680,Gaia DR2 2133609705341815680,TIC 243271051,,286.433726,50.3002266,13.169,12.05,11.752,12.6278,13.029,13.0069,6116.0,4.4,-0.13,1.06,1.09,,0.29567,3.02,1.57,-1.36,,12.98495573,1.78,3.4569,Kepler,2016,Kepler
Kepler-351 b,Kepler-351,Gaia DR3 2105491997566014336,Gaia DR2 2105491997566014336,TIC 158218178,,286.4527949,42.6577891,16.229,14.669,14.097,15.435,15.99,15.9665,5643.0,4.556,-0.16,0.81,0.854,,-0.38644,2.9,3.7,-3.7,,37.054919,3.06,5.122,Kepler,2014,Kepler
Kepler-351 d,Kepler-351,Gaia DR3 2105491997566014336,Gaia DR2 2105491997566014336,TIC 158218178,,286.4527949,42.6577891,16.229,14.669,14.097,15.435,15.99,15.9665,5225.0,4.58,-0.16,0.81,0.78,,-0.38644,4.9,6.17,-3.14,,142.544247,2.72,8.949,Kepler,2016,Kepler
Kepler-351 c,Kepler-351,Gaia DR3 2105491997566014336,Gaia DR2 2105491997566014336,TIC 158218178,,286.4527949,42.6577891,16.229,14.669,14.097,15.435,15.99,15.9665,5643.0,4.556,-0.16,0.81,0.854,,-0.38644,2.9,3.7,-3.7,,57.24809,3.19,5.923,Kepler,2014,Kepler
Kepler-324 c,Kepler-324,Gaia DR3 2132078120004385152,Gaia DR2 2132078120004385152,TIC 243271716,,286.4714473,49.6490933,14.222,12.783,12.291,13.5467,14.122,14.0909,5194.0,4.53,0.18,0.901,0.84,,-0.30825,3.39,2.64,-1.77,,51.805612,3.15,6.589,Kepler,2014,Kepler
Kepler-324 b,Kepler-324,Gaia DR3 2132078120004385152,Gaia DR2 2132078120004385152,TIC 243271716,,286.4714473,49.6490933,14.222,12.783,12.291,13.5467,14.122,14.0909,5194.0,4.53,0.18,0.901,0.84,,-0.30825,3.39,2.64,-1.77,,4.385315,1.14,2.488,Kepler,2014,Kepler
KOI-1831 d,Kepler-324,Gaia DR3 2132078120004385152,Gaia DR2 2132078120004385152,TIC 243271716,,286.4714473,49.6490933,14.222,12.783,12.291,13.5467,14.122,14.0909,5233.0,4.54,0.18,0.901,0.835,,-0.30825,3.39,2.64,-1.77,,34.169,1.13,4.487,Kepler,2021,Kepler
Kepler-324 e,Kepler-324,Gaia DR3 2132078120004385152,Gaia DR2 2132078120004385152,TIC 243271716,,286.4714473,49.6490933,14.222,12.783,12.291,13.5467,14.122,14.0909,5191.0,4.53,0.08,0.844,0.826,,-0.30825,3.39,2.64,-1.77,,13.97939968,2.03862444,1.2325,Kepler,2021,Kepler
Kepler-1795 b,Kepler-1795,Gaia DR3 2100442009379544320,Gaia DR2 2100442009378111744,TIC 120893436,,286.4792568,39.2698793,16.188,13.796,12.996,15.0222,15.637,15.7903,4500.0,4.638,0.28,0.768,0.688,,-0.757,5.8,3.7,-3.7,,13.36019993,1.66301611,2.788,Kepler,2021,Kepler
Kepler-740 b,Kepler-740,Gaia DR3 2130544262626885120,Gaia DR2 2130544262626885120,TIC 158270511,,286.4822566,46.692456,16.022,14.613,14.177,15.3923,15.954,15.9235,5438.0,4.52,0.03,0.91,0.87,,-0.12268,4.79,6.59,-3.01,,3.584101216,4.57,2.7445,Kepler,2016,Kepler
Kepler-1263 b,Kepler-1263,Gaia DR3 2130550520397270016,Gaia DR2 2130550520397270016,TIC 158270568,,286.483626,46.7526182,15.173,13.635,13.08,14.43,15.035,15.0007,5213.0,4.56,-0.03,0.84,0.8,,-0.41402,4.9,6.27,-2.98,,4.55139967,1.14,2.491,Kepler,2016,Kepler
Kepler-770 b,Kepler-770,Gaia DR3 2099980386293545216,Gaia DR2 2099980386293545216,TIC 120891972,,286.4904589,38.374872,14.852,13.391,12.923,14.0759,14.604,14.5966,5598.0,4.49,-0.01,0.94,0.92,,0.05399,4.57,4.78,-2.85,,18.92540274,2.3,3.7409,Kepler,2016,Kepler
Kepler-770 d,Kepler-770,Gaia DR3 2099980386293545216,Gaia DR2 2099980386293545216,TIC 120891972,,286.4904589,38.374872,14.852,13.391,12.923,14.0759,14.604,14.5966,5598.0,4.49,-0.01,0.94,0.92,,0.05399,4.57,4.78,-2.85,,4.15244722,1.4,2.5916,Kepler,2016,Kepler
Kepler-770 c,Kepler-770,Gaia DR3 2099980386293545216,Gaia DR2 2099980386293545216,TIC 120891972,,286.4904589,38.374872,14.852,13.391,12.923,14.0759,14.604,14.5966,5598.0,4.49,-0.01,0.94,0.92,,0.05399,4.57,4.78,-2.85,,1.475322314,1.2,2.326,Kepler,2016,Kepler
Kepler-531 b,Kepler-531,Gaia DR3 2131181055955983232,Gaia DR2 2131181055955983232,TIC 243272677,,286.5246582,48.6835481,13.566,11.772,11.177,12.6696,13.34,13.2923,4893.0,4.58,-0.03,0.78,0.75,,-0.55216,7.76,4.65,-4.9,,29.88485741,2.78,4.5608,Kepler,2016,Kepler
Kepler-585 b,Kepler-585,Gaia DR3 2105694410784851072,Gaia DR2 2105694410784851072,TIC 158276273,,286.5284924,43.8733751,14.188,12.808,12.403,13.5146,14.034,14.0171,5593.0,4.49,0.03,0.96,0.93,,-0.16334,3.63,5.34,-1.92,,2.752359753,2.83,2.1154,Kepler,2016,Kepler
Kepler-296 e,Kepler-296,Gaia DR3 2132069633148965888,Gaia DR2 2132069633148965888,TIC 243271945,,286.5400278,49.4372614,16.363,13.391,12.6,14.9169,15.921,15.9015,3740.0,4.774,-0.08,0.498,0.48,M2 V,-1.50864,4.2,3.4,-1.6,,34.14211,1.53,2.945,Kepler,2014,Kepler
Kepler-296 f,Kepler-296,Gaia DR3 2132069633148965888,Gaia DR2 2132069633148965888,TIC 243271945,,286.5400278,49.4372614,16.363,13.391,12.6,14.9169,15.921,15.9015,3740.0,4.774,-0.08,0.498,0.48,M2 V,-1.50864,4.2,3.4,-1.6,,63.33627,1.8,3.6,Kepler,2014,Kepler
Kepler-296 b,Kepler-296,Gaia DR3 2132069633148965888,Gaia DR2 2132069633148965888,TIC 243271945,,286.5400278,49.4372614,16.363,13.391,12.6,14.9169,15.921,15.9015,3740.0,4.774,-0.08,0.498,0.48,M2 V,-1.50864,4.2,3.4,-1.6,,10.864384,1.61,1.853,Kepler,2014,Kepler
Kepler-296 c,Kepler-296,Gaia DR3 2132069633148965888,Gaia DR2 2132069633148965888,TIC 243271945,,286.5400278,49.4372614,16.363,13.391,12.6,14.9169,15.921,15.9015,3740.0,4.774,-0.08,0.498,0.48,M2 V,-1.50864,4.2,3.4,-1.6,,5.8416366,2.0,1.8734,Kepler,2014,Kepler
Kepler-296 d,Kepler-296,Gaia DR3 2132069633148965888,Gaia DR2 2132069633148965888,TIC 243271945,,286.5400278,49.4372614,16.363,13.391,12.6,14.9169,15.921,15.9015,3740.0,4.774,-0.08,0.498,0.48,M2 V,-1.50864,4.2,3.4,-1.6,,19.850291,2.09,2.8407,Kepler,2014,Kepler
Kepler-1616 b,Kepler-1616,Gaia DR3 2106427750679026688,Gaia DR2 2106427750679026688,TIC 158274583,,286.5436691,45.3048716,13.491,12.523,12.228,13.0513,13.499,13.4295,6266.0,4.26,0.02,1.21,1.34,,0.63778,2.75,0.818,-0.988,,6.76284377,1.02,5.872,Kepler,2016,Kepler
Kepler-571 b,Kepler-571,Gaia DR3 2132069598789224960,Gaia DR2 2132069598789224960,TIC 243271972,,286.5510448,49.418731,14.951,13.41,12.986,14.1499,14.675,14.6536,5527.0,4.51,0.01,0.93,0.9,,-0.22253,4.68,5.37,-2.96,,4.798599388,2.64,2.9979,Kepler,2016,Kepler
Kepler-967 c,Kepler-967,Gaia DR3 2099980111415659776,Gaia DR2 2099980111415659776,TIC 120962548,,286.5580128,38.4052418,14.702,12.991,12.396,13.8681,14.443,14.4513,5178.0,4.56,-0.03,0.84,0.8,,-0.71759,5.89,3.64,-3.24,,198.7112502,3.65,8.5374,Kepler,2016,Kepler
Kepler-967 b,Kepler-967,Gaia DR3 2099980111415659776,Gaia DR2 2099980111415659776,TIC 120962548,,286.5580128,38.4052418,14.702,12.991,12.396,13.8681,14.443,14.4513,5178.0,4.56,-0.03,0.84,0.8,,-0.71759,5.89,3.64,-3.24,,13.22713379,2.35,3.2928,Kepler,2016,Kepler
Kepler-242 b,Kepler-242,Gaia DR3 2103934504985435904,Gaia DR2 2103934504985435904,TIC 120899945,,286.5656932,41.8084168,15.489,13.821,13.238,14.7169,15.376,15.3494,5020.0,4.492,-0.02,0.748,0.85,,-0.61267,2.69,4.23,-2.14,,8.20395,2.61,2.74,Kepler,2014,Kepler
Kepler-242 c,Kepler-242,Gaia DR3 2103934504985435904,Gaia DR2 2103934504985435904,TIC 120899945,,286.5656932,41.8084168,15.489,13.821,13.238,14.7169,15.376,15.3494,5020.0,4.492,-0.02,0.748,0.85,,-0.61267,2.69,4.23,-2.14,,14.496481,2.0,3.222,Kepler,2014,Kepler
Kepler-800 b,Kepler-800,Gaia DR3 2106132875405444352,Gaia DR2 2106132875405444352,TIC 158275161,,286.5747697,44.7951858,15.92,14.446,13.916,15.2167,15.762,15.7477,5315.0,4.55,-0.09,0.85,0.82,,-0.35798,4.68,6.47,-2.98,,14.13176026,2.85,3.854,Kepler,2016,Kepler
Kepler-1554 b,Kepler-1554,Gaia DR3 2103927495598786304,Gaia DR2 2103927495598786304,TIC 120900025,,286.576016,41.7415762,15.93,14.367,13.814,15.1613,15.717,15.7147,5297.0,4.56,-0.1,0.84,0.81,,-0.39312,4.68,6.3,-3.03,,198.088774,2.9,8.121,Kepler,2016,Kepler
Kepler-1421 b,Kepler-1421,Gaia DR3 2131173187575866496,Gaia DR2 2131173187575866496,TIC 399826842,,286.5806115,48.5442312,12.868,11.839,11.554,12.3584,12.788,12.7261,6335.0,4.23,0.05,1.25,1.42,,0.59941,2.75,0.46,-0.8,,6.9131112,0.93,4.768,Kepler,2016,Kepler
Kepler-277 b,Kepler-277,Gaia DR3 2100389610777053056,Gaia DR2 2100389610777053056,TIC 120961424,,286.5831894,39.0772582,13.544,12.288,11.966,12.9339,13.42,13.3884,5946.0,4.03,0.09,1.12,1.69,,0.56791,3.89,1.24,-0.42,,17.324,2.92,8.045,Kepler,2013,Kepler
Kepler-277 c,Kepler-277,Gaia DR3 2100389610777053056,Gaia DR2 2100389610777053056,TIC 120961424,,286.5831894,39.0772582,13.544,12.288,11.966,12.9339,13.42,13.3884,5946.0,4.03,0.09,1.12,1.69,,0.56791,3.89,1.24,-0.42,,33.006,3.36,7.201,Kepler,2013,Kepler
Kepler-898 b,Kepler-898,Gaia DR3 2130552994298492288,Gaia DR2 2130552994298492288,TIC 158272820,,286.5854116,46.8708877,16.695,13.959,13.187,15.1423,15.961,15.9386,4223.0,4.66,-0.06,0.65,0.62,,-0.87506,3.98,4.95,-2.26,,5.8706191,1.49,2.4983,Kepler,2016,Kepler
KOI-4978 b,KOI-4978,Gaia DR3 2099983478670059136,Gaia DR2 2099983478670059136,TIC 120962288,,286.5907635,38.5582993,15.633,13.99,13.507,14.6908,15.278,15.2477,5050.28,4.402,0.18,0.859,0.966,G,-0.1769,1.48,1.61,-1.06,,0.941967,0.7,2.2,Kepler,2024,Kepler
Kepler-1124 b,Kepler-1124,Gaia DR3 2099183583961614208,Gaia DR2 2099183583961614208,TIC 120963454,,286.5942529,37.8912836,16.745,13.671,12.826,14.9389,15.959,15.9678,3658.0,4.93,-0.59,0.35,0.34,,-1.32347,3.39,5.26,-1.95,,2.852348975,1.28,0.706,Kepler,2016,Kepler
Kepler-1301 b,Kepler-1301,Gaia DR3 2105463135385330944,Gaia DR2 2105463135385330944,TIC 158278132,,286.6041816,42.4403309,15.656,13.963,13.469,14.8068,15.4,15.3734,5188.0,4.56,0.01,0.85,0.81,,-0.34618,4.9,6.17,-3.05,,9.08237046,1.4,2.025,Kepler,2016,Kepler
Kepler-1701 b,Kepler-1701,Gaia DR3 2103936497850300928,Gaia DR2 2103936497850300928,TIC 120899838,,286.6088625,41.8892986,14.722,13.232,12.743,14.0039,14.566,14.5504,5146.0,4.5288,0.03,0.87,0.840217,,-0.35064,1.29,1.95,-0.87,,169.134,2.22186207,8.614,Kepler,2020,Kepler
Kepler-1535 b,Kepler-1535,Gaia DR3 2100009488992720896,Gaia DR2 2100009488992720896,TIC 120961712,,286.613685,38.8919507,14.385,13.104,12.744,13.7282,14.208,14.1798,6021.0,4.38,0.0,1.08,1.11,,0.16473,3.47,1.65,-1.56,,138.9442,2.55,10.456,Kepler,2016,Kepler
Kepler-1224 b,Kepler-1224,Gaia DR3 2099122522408063232,Gaia DR2 2099122522408063232,TIC 120964116,,286.6257591,37.537313,12.926,11.891,11.588,12.4299,12.867,12.825,6155.0,4.34,0.14,1.18,1.22,,0.29282,2.34,1.0,-0.841,,13.32351601,1.33,3.927,Kepler,2016,Kepler
Kepler-473 b,Kepler-473,Gaia DR3 2100009935669354240,Gaia DR2 2100009935669354240,TIC 120961632,,286.6300796,38.9455907,13.548,12.121,11.731,12.8651,13.397,13.3691,5816.0,4.21,0.12,1.06,1.34,,0.5248,6.92,1.6,-2.0,,14.55731705,4.08,7.7724,Kepler,2016,Kepler
Kepler-25 b,Kepler-25,Gaia DR3 2100451630105041152,Gaia DR2 2100451630105041152,TIC 120960812,,286.6383905,39.4879038,10.769,9.764,9.493,10.2768,10.734,10.6319,6354.0,4.285,0.11,1.165,1.316,F8,0.4216,2.75,0.3,-0.3,,6.238297,2.748,3.54393,Kepler,2011,Kepler
Kepler-25 c,Kepler-25,Gaia DR3 2100451630105041152,Gaia DR2 2100451630105041152,TIC 120960812,,286.6383905,39.4879038,10.769,9.764,9.493,10.2768,10.734,10.6319,6354.0,4.285,0.11,1.165,1.316,F8,0.4216,2.75,0.3,-0.3,,12.7207,5.217,2.862,Kepler,2011,Kepler
Kepler-1488 c,Kepler-1488,Gaia DR3 2133584309198180736,Gaia DR2 2133584309198180736,TIC 399825584,,286.6464265,49.9377735,13.146,12.012,11.638,12.6275,13.102,13.0767,5710.0,4.073,0.0,1.003,1.524,,0.58748,5.75,0.41,-0.38,,6.158269882,1.65156749,6.285,Kepler,2021,Kepler
Kepler-1488 b,Kepler-1488,Gaia DR3 2133584309198180736,Gaia DR2 2133584309198180736,TIC 399825584,,286.6464265,49.9377735,13.146,12.012,11.638,12.6275,13.102,13.0767,5820.0,4.22,0.06,1.05,1.31,,0.58748,6.92,1.3,-2.36,,39.8189932,1.86,10.798,Kepler,2016,Kepler
Kepler-332 d,Kepler-332,Gaia DR3 2130683904901068800,Gaia DR2 2130683904901068800,TIC 158272257,,286.6627811,47.4136938,14.243,12.558,11.974,13.4066,14.017,14.0025,4955.0,4.611,-0.13,0.743,0.72,,-0.5837,2.82,2.14,-1.22,,34.21154,1.18,4.709,Kepler,2014,Kepler
Kepler-332 b,Kepler-332,Gaia DR3 2130683904901068800,Gaia DR2 2130683904901068800,TIC 158272257,,286.6627811,47.4136938,14.243,12.558,11.974,13.4066,14.017,14.0025,4955.0,4.611,-0.13,0.743,0.72,,-0.5837,2.82,2.14,-1.22,,7.626324,1.17,2.37,Kepler,2014,Kepler
Kepler-332 c,Kepler-332,Gaia DR3 2130683904901068800,Gaia DR2 2130683904901068800,TIC 158272257,,286.6627811,47.4136938,14.243,12.558,11.974,13.4066,14.017,14.0025,4955.0,4.611,-0.13,0.743,0.72,,-0.5837,2.82,2.14,-1.22,,15.995622,1.09,3.379,Kepler,2014,Kepler
Kepler-1177 b,Kepler-1177,Gaia DR3 2131318426189833728,Gaia DR2 2131318426189833728,TIC 399826020,,286.6714813,49.4062964,14.773,13.35,12.967,14.0312,14.552,14.5078,5712.0,4.46,0.02,0.98,0.97,,0.34212,4.47,2.76,-2.41,,106.247547,1.9,13.668,Kepler,2016,Kepler
Kepler-1000 b,Kepler-1000,Gaia DR3 2130652843697474816,Gaia DR2 2130652843697474816,TIC 158322296,,286.6854729,47.0981948,13.23,12.319,12.094,12.8515,13.256,13.1923,6453.0,4.23,0.35,1.4,1.51,,0.7147,1.26,0.33,-0.18,,120.0181272,4.76,11.604,Kepler,2016,Kepler
Kepler-1655 b,Kepler-1655,Gaia DR3 2100392428275714688,Gaia DR2 2100392428275714688,TIC 120973167,,286.6895986,39.2120802,11.045,10.065,9.785,10.6341,11.072,11.0141,6148.0,4.416,-0.24,1.03,1.03,G0 V,0.14315,2.56,1.06,-1.06,13.6,11.8728787,2.213,2.3661,Kepler,2018,Kepler
Kepler-1567 b,Kepler-1567,Gaia DR3 2100698745343821312,Gaia DR2 2100698745343821312,TIC 121013472,,286.695153,40.2918894,15.92,14.371,13.992,15.1131,15.672,15.6322,5655.0,4.49,-0.03,0.95,0.93,,-0.12183,4.17,4.4,-2.4,,153.979578,2.73,8.994,Kepler,2016,Kepler
Kepler-978 b,Kepler-978,Gaia DR3 2105597825559486336,Gaia DR2 2105597825559486336,TIC 158317637,,286.7107166,43.0433585,13.513,12.363,12.011,12.9744,13.429,13.3744,6002.0,4.38,-0.01,1.07,1.09,,0.143,3.63,1.79,-1.9,,49.6221509,2.99,7.093,Kepler,2016,Kepler
Kepler-1270 b,Kepler-1270,Gaia DR3 2131169545443676032,Gaia DR2 2131169545443676032,TIC 399826741,,286.7156676,48.6452552,13.562,11.843,11.242,12.6894,13.274,13.2851,5047.0,3.49,-0.02,1.28,3.38,,0.71321,4.37,2.14,-0.12,,6.03356196,3.32,10.264,Kepler,2016,Kepler
Kepler-1146 b,Kepler-1146,Gaia DR3 2130684695176129536,Gaia DR2 2130684695175070848,TIC 158322622,,286.716712,47.425658,15.953,14.229,13.518,15.1732,15.848,15.8497,4692.0,4.62,-0.06,0.74,0.7,,-0.64244,4.9,5.87,-2.75,,2.352265797,1.23,1.707,Kepler,2016,Kepler
Kepler-52 b,Kepler-52,Gaia DR3 2133589776693414016,Gaia DR2 2133589776693414016,TIC 399825554,,286.7380152,49.9757383,15.513,13.153,12.36,14.2572,15.095,15.0589,4075.0,4.74,0.0,0.54,0.52,M0 V,-0.99568,1.01,0.15,-0.15,,7.8773565,2.1,2.4223,Kepler,2012,Kepler
Kepler-52 d,Kepler-52,Gaia DR3 2133589776693414016,Gaia DR2 2133589776693414016,TIC 399825554,,286.7380152,49.9757383,15.513,13.153,12.36,14.2572,15.095,15.0589,4263.0,4.729,0.0,0.577,0.556,M0 V,-0.99568,1.01,0.15,-0.15,,36.445171,1.95,4.153,Kepler,2014,Kepler
Kepler-52 c,Kepler-52,Gaia DR3 2133589776693414016,Gaia DR2 2133589776693414016,TIC 399825554,,286.7380152,49.9757383,15.513,13.153,12.36,14.2572,15.095,15.0589,4075.0,4.74,0.0,0.54,0.52,M0 V,-0.99568,1.01,0.15,-0.15,,16.3850021,1.84,3.1252,Kepler,2012,Kepler
Kepler-859 b,Kepler-859,Gaia DR3 2105604800586437760,Gaia DR2 2105604800586437760,TIC 158317824,,286.7418337,43.1901197,15.977,14.424,13.858,15.2785,15.887,15.8805,5020.0,4.59,-0.02,0.81,0.77,,-0.55638,4.57,6.07,-2.76,,20.38177573,3.09,3.7429,Kepler,2016,Kepler
KOI-7913 b,KOI-7913 A,Gaia DR3 2106235301785454208,Gaia DR2 2106235301785454208,TIC 158320130,,286.7485252,45.1587234,14.23,12.274,11.212,13.4497,14.164,14.2239,4324.0,4.523,-0.06,0.76,0.788,K6 V,-0.76792,0.036,0.01,-0.008,3.387,24.278553,2.34,4.39,Kepler,2022,Kepler
Kepler-124 c,Kepler-124,Gaia DR3 2131287021388901504,Gaia DR2 2131287021388901504,TIC 399860218,,286.7527322,49.0648788,14.4,12.78,12.233,13.5711,14.139,14.124,4984.0,4.669,-0.46,0.706,0.636,,-0.46737,1.82,2.1,-0.609,,13.821375,1.75,3.552,Kepler,2014,Kepler
Kepler-124 d,Kepler-124,Gaia DR3 2131287021388901504,Gaia DR2 2131287021388901504,TIC 399860218,,286.7527322,49.0648788,14.4,12.78,12.233,13.5711,14.139,14.124,4984.0,4.669,-0.46,0.706,0.636,,-0.46737,1.82,2.1,-0.609,,30.950851,1.11,4.196,Kepler,2014,Kepler
Kepler-124 b,Kepler-124,Gaia DR3 2131287021388901504,Gaia DR2 2131287021388901504,TIC 399860218,,286.7527322,49.0648788,14.4,12.78,12.233,13.5711,14.139,14.124,4984.0,4.669,-0.46,0.706,0.636,,-0.46737,1.82,2.1,-0.609,,3.410493,0.73,2.389,Kepler,2014,Kepler
TOI-2107 b,TOI-2107,Gaia DR3 6633448311454447232,Gaia DR2 6633448311454447232,TIC 446549906,,286.7965405,-58.6968348,12.0363,10.737,10.328,11.3819,,11.8642,5627.0,4.484,0.07,0.961,0.932,,-0.10458,4.0,4.0,-2.7,,2.4545467,13.57407563,2.5956,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TrES-2 b,TrES-2,Gaia DR3 2131314401800665344,Gaia DR2 2131314401800665344,TIC 399860444,,286.8085258,49.3164211,11.254,10.232,9.846,10.854,11.338,11.2819,5850.0,4.43,-0.15,1.36,1.12,G0 V,0.03841,3.55,1.36,-1.32,,2.47063,15.24424,1.74259,TrES,2006,Other
Kepler-1558 b,Kepler-1558,Gaia DR3 2130633430445267584,Gaia DR2 2130633430445267584,TIC 158322085,,286.8194349,46.9117837,13.809,12.204,11.657,13.0048,13.632,13.5998,5101.0,4.57,0.0,0.83,0.79,,-0.48006,4.9,5.92,-2.96,,3.50470358,0.68,2.01,Kepler,2016,Kepler
Kepler-38 b,Kepler-38,Gaia DR3 2105448841733970432,Gaia DR2 2105448841733970432,TIC 158316612,,286.830312,42.2791434,14.015,12.73,12.342,13.4314,13.941,13.9066,5623.0,3.926,-0.11,0.941,1.752,G4 V,0.49161,10.0,3.0,-3.0,,105.599,4.3,,Kepler,2012,Kepler
Kepler-1664 b,Kepler-1664,,Gaia DR2 2131313444027771520,TIC 399860388,,286.8527157,49.2616668,13.621,12.465,12.054,13.0693,13.586,13.5307,5735.81,4.353,0.3698,0.944,1.072,,0.0501,8.2,2.6,-2.6,,14.3868,3.03320653,2.1417,Kepler,2020,Kepler
TOI-1450 A b,TOI-1450 A,Gaia DR3 2155540255030594560,Gaia DR2 2155540255030594560,TIC 377293776,,286.8540627,59.0866254,12.28,8.457,7.565,10.0306,,11.2394,3437.0,4.76,-0.12,0.48,0.483,M3.0 V,-1.56499,,,,35.0,2.0439274,1.13,0.988,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
Kepler-152 b,Kepler-152,Gaia DR3 2105435544515167232,Gaia DR2 2105435544515167232,TIC 158387462,,286.8653826,41.9889571,14.379,12.853,12.301,13.6825,14.29,14.2437,5088.0,4.605,-0.12,0.779,0.724,,-0.46488,2.0,1.43,-0.656,,18.207973,2.79,3.756,Kepler,2014,Kepler
Kepler-152 c,Kepler-152,Gaia DR3 2105435544515167232,Gaia DR2 2105435544515167232,TIC 158387462,,286.8653826,41.9889571,14.379,12.853,12.301,13.6825,14.29,14.2437,5088.0,4.605,-0.12,0.779,0.724,,-0.46488,2.0,1.43,-0.656,,88.255055,2.39,4.036,Kepler,2014,Kepler
Kepler-828 b,Kepler-828,Gaia DR3 2105474852056221824,Gaia DR2 2105474852056221824,TIC 158386765,,286.8872555,42.4712271,15.374,13.586,12.992,14.4455,15.055,15.0441,5039.0,4.58,-0.02,0.81,0.77,,-0.54299,4.57,6.37,-2.74,,0.567857136,1.51,0.9869,Kepler,2016,Kepler
Kepler-1187 b,Kepler-1187,Gaia DR3 2099219867845754752,Gaia DR2 2099219867845754752,TIC 121021644,,286.8919996,38.3185034,14.73,13.507,13.151,14.1065,14.562,14.5664,5975.0,4.39,-0.01,1.06,1.09,,0.13585,3.39,2.18,-1.66,,18.87064068,2.61,3.2476,Kepler,2016,Kepler
Kepler-790 b,Kepler-790,Gaia DR3 2100369888287148416,Gaia DR2 2100369888287148416,TIC 121020728,,286.9171489,38.8722123,15.534,13.784,13.248,14.6128,15.187,15.1947,5208.0,4.56,-0.05,0.84,0.8,,-0.42384,4.9,5.92,-3.07,,13.73469807,2.18,2.3574,Kepler,2016,Kepler
Kepler-1692 b,Kepler-1692,Gaia DR3 2130641436264397568,Gaia DR2 2130641436264397568,TIC 158324044,,286.9241804,47.0537092,14.674,13.176,12.658,13.9464,14.52,14.5049,5146.0,4.50241,0.36,0.87,0.866139,,-0.32425,6.1,3.9,-3.9,,5.95966,1.11177184,2.896,Kepler,2020,Kepler
Kepler-1456 b,Kepler-1456,Gaia DR3 2106018801073572224,Gaia DR2 2106018801073572224,TIC 158385035,,286.9453381,43.8228023,15.777,13.486,12.681,14.6416,15.464,15.445,4231.0,4.67,-0.09,0.64,0.62,,-0.957,3.72,5.7,-2.1,,18.1373829,1.14,3.55,Kepler,2016,Kepler
Kepler-1700 b,Kepler-1700,Gaia DR3 2106262274180389376,Gaia DR2 2106262274180389376,TIC 158325998,,286.9497376,45.3537626,13.764,12.67,12.352,13.221,13.685,13.6285,6031.0,4.40949,0.07,1.12,1.0937,,0.15405,2.75,1.51,-1.37,,234.239,2.90129941,12.925,Kepler,2020,Kepler
Kepler-1376 b,Kepler-1376,Gaia DR3 2105478425469064064,Gaia DR2 2105478425469064064,TIC 158386680,,286.9584368,42.541409,14.792,13.444,13.072,14.1768,14.699,14.6721,5659.0,4.46,0.07,0.98,0.97,,-0.07062,4.68,4.38,-2.91,,5.30880656,1.05,3.018,Kepler,2016,Kepler
Kepler-575 b,Kepler-575,Gaia DR3 2099156817725596800,Gaia DR2 2099156817725596800,TIC 121022533,,286.9638856,37.8296147,14.864,13.507,13.078,14.2092,14.72,14.7124,5710.0,4.47,0.0,0.97,0.95,,-0.08379,3.98,3.82,-2.2,,9.37891944,2.39,3.3044,Kepler,2016,Kepler
Kepler-1742 b,Kepler-1742,Gaia DR3 2106221351731318784,Gaia DR2 2106221351731318784,TIC 158326424,,286.9668086,44.9924315,14.512,13.187,12.831,13.89,14.427,14.3735,5776.0,4.554,-0.18,0.939,0.849,,-0.18376,0.5,3.5,-3.5,,49.47819901,2.1782413,2.479,Kepler,2021,Kepler
Kepler-1165 c,Kepler-1165,Gaia DR3 2106208363750121728,Gaia DR2 2106208363750121728,TIC 158326744,,286.9712284,44.7082669,14.521,13.362,13.07,13.9708,14.456,14.3923,6249.0,4.428,-0.04,1.13,1.076,,0.55152,0.3,1.2,-1.2,,29.96870041,3.36093385,6.71,Kepler,2021,Kepler
